feature,importance
volatility_20d,2578
atr_14,2368
sma_50_distance,2227
sma_50,2133
price_momentum_20d,2127
volume_trend,2080
volume_ratio_5d,1997
volume_acceleration,1961
intraday_range,1959
ema_20,1954
rsi_14,1918
macd_signal,1912
gap_size,1813
sentiment_neutral,1777
relative_volume,1754
stochastic_k,1739
price_acceleration,1639
price_momentum_5d,1637
price_momentum_10d,1591
sentiment_positive,1460
bollinger_position,1456
sentiment_negative,1351
sentiment_score,1272
ema_20_distance,1210
macd_histogram,368
overnight_return,354
williams_r,352
volume_spike,11
dark_pool_ratio,0
institutional_net_flow,0
vix_level,0
spy_correlation,0
sector_momentum,0
insider_buying_ratio,0
institutional_ownership_pct,0
institutional_block_trades,0
options_call_volume,0
options_gamma_exposure,0
options_oi_put_call,0
options_put_volume,0
options_iv_rank,0
options_unusual_activity,0
options_put_call_ratio,0
adx_14,0
sector_relative_strength,0
